tarih,n1,n2,n3,n4,n5,n6
2021-01-06,5,14,29,41,44,47
2021-01-13,2,28,30,45,53,59
2021-01-20,18,45,46,49,51,56
2021-01-27,15,16,18,33,42,54
2021-02-03,1,7,21,33,55,60
2021-02-10,24,33,45,47,51,60
2021-02-17,1,2,8,20,35,56
2021-02-24,10,17,21,22,34,51
2021-03-03,12,19,23,44,54,60
2021-03-10,21,23,35,39,50,60
2021-03-17,3,23,35,36,37,44
2021-03-24,10,17,29,42,45,47
2021-03-31,2,3,7,12,34,57
2021-04-07,10,15,23,42,43,44
2021-04-14,23,36,38,40,42,54
2021-04-21,3,5,6,13,27,44
2021-04-28,6,9,15,29,40,44
2021-05-05,3,33,41,54,56,57
2021-05-12,13,37,38,51,53,54
2021-05-19,16,22,34,43,45,53
2021-05-26,23,32,36,42,51,60
2021-06-02,10,26,35,37,44,49
2021-06-09,3,19,20,40,46,58
2021-06-16,9,20,30,44,53,59
2021-06-23,3,8,13,23,29,33
2021-06-30,6,9,10,12,48,52
2021-07-07,5,12,16,26,40,60
2021-07-14,18,22,27,40,47,59
2021-07-21,9,10,20,39,40,57
2021-07-28,3,5,7,17,32,44
2021-08-04,7,8,25,30,38,53
2021-08-11,12,13,22,40,45,51
2021-08-18,12,24,41,46,51,54
2021-08-25,3,9,27,33,38,52
2021-09-01,1,11,20,33,47,53
2021-09-08,3,6,29,36,49,50
2021-09-15,1,8,10,17,18,29
2021-09-22,1,7,12,16,21,37
2021-09-29,13,14,23,38,40,47
2021-10-06,10,29,48,51,53,55
2021-10-13,7,9,26,34,47,60
2021-10-20,23,27,29,33,43,44
2021-10-27,4,5,19,29,32,44
2021-11-03,15,24,32,36,48,50
2021-11-10,18,30,31,44,48,59
2021-11-17,11,12,13,15,19,55
2021-11-24,11,25,41,43,54,58
2021-12-01,7,18,39,44,54,57
2021-12-08,9,19,30,41,48,54
2021-12-15,5,8,34,35,40,43
2021-12-22,6,12,15,21,38,55
2021-12-29,14,29,33,44,45,51
2022-01-05,8,27,35,37,48,49
2022-01-12,1,3,12,22,24,54
2022-01-19,9,23,26,48,56,59
2022-01-26,3,10,17,29,48,59
2022-02-02,11,27,29,43,45,50
2022-02-09,15,18,19,38,54,56
2022-02-16,9,16,29,48,51,56
2022-02-23,2,3,8,13,15,39
2022-03-02,2,3,9,35,45,60
2022-03-09,4,9,18,26,29,56
2022-03-16,6,10,18,38,53,59
2022-03-23,2,5,15,29,51,54
2022-03-30,2,15,30,32,42,52
2022-04-06,16,17,34,50,53,57
2022-04-13,19,24,32,42,44,48
2022-04-20,26,29,30,37,39,50
2022-04-27,3,22,23,26,42,52
2022-05-04,29,33,48,55,57,59
2022-05-11,7,16,17,23,34,51
2022-05-18,3,10,37,46,47,54
2022-05-25,22,44,47,55,57,60
2022-06-01,14,30,38,39,54,55
2022-06-08,4,17,24,27,29,57
2022-06-15,3,16,17,35,44,59
2022-06-22,17,20,35,44,57,58
2022-06-29,7,38,39,42,45,51
2022-07-06,1,6,8,9,25,27
2022-07-13,2,26,27,28,39,60
2022-07-20,11,23,32,33,37,44
2022-07-27,5,8,15,27,31,53
2022-08-03,8,10,14,18,33,57
2022-08-10,5,13,23,24,33,48
2022-08-17,8,9,11,29,39,51
2022-08-24,12,23,27,51,53,56
2022-08-31,5,15,17,25,53,56
2022-09-07,12,21,22,25,41,47
2022-09-14,4,17,21,29,34,41
2022-09-21,3,4,12,35,41,58
2022-09-28,15,20,21,22,32,56
2022-10-05,6,26,34,35,38,48
2022-10-12,8,34,40,52,56,59
2022-10-19,2,6,9,26,39,60
2022-10-26,5,12,32,37,45,55
2022-11-02,3,6,26,29,31,35
2022-11-09,21,35,37,43,48,53
2022-11-16,32,36,41,42,44,47
2022-11-23,3,7,8,30,45,60
2022-11-30,11,15,33,35,54,55
2022-12-07,5,7,11,13,48,57
2022-12-14,3,4,11,18,56,59
2022-12-21,3,11,13,14,35,37
2022-12-28,5,6,27,33,40,57
2023-01-04,12,15,17,20,33,53
2023-01-11,3,6,19,31,37,50
2023-01-18,5,14,21,29,34,45
2023-01-25,8,13,23,32,55,57
2023-02-01,3,16,17,33,41,49
2023-02-08,21,30,38,46,48,55
2023-02-15,12,14,29,40,42,51
2023-02-22,4,19,20,27,39,50
2023-03-01,1,9,10,25,30,51
2023-03-08,7,21,38,42,55,57
2023-03-15,3,17,27,35,44,54
2023-03-22,8,9,10,13,23,47
2023-03-29,3,11,15,31,35,51
2023-04-05,11,12,21,41,54,55
2023-04-12,5,18,34,37,40,43
2023-04-19,5,9,22,41,46,57
2023-04-26,21,42,46,48,50,55
2023-05-03,4,5,9,16,35,36
2023-05-10,12,31,32,34,35,51
2023-05-17,7,8,30,40,53,59
2023-05-24,17,18,24,44,46,59
2023-05-31,3,8,14,20,57,60
2023-06-07,6,9,16,20,29,59
2023-06-14,8,19,34,38,51,56
2023-06-21,4,12,24,50,51,59
2023-06-28,18,19,22,28,36,38
2023-07-05,5,24,27,34,48,57
2023-07-12,32,37,39,43,48,51
2023-07-19,20,36,41,43,45,56
2023-07-26,6,11,21,35,36,43
2023-08-02,15,19,30,40,44,54
2023-08-09,11,18,27,35,44,53
2023-08-16,3,33,37,38,48,54
2023-08-23,6,15,18,20,35,53
2023-08-30,1,11,24,37,47,57
2023-09-06,9,19,36,41,49,54
2023-09-13,14,19,33,34,42,43
2023-09-20,16,18,23,29,44,46
2023-09-27,1,15,20,36,39,57
2023-10-04,8,12,39,44,54,60
2023-10-11,4,30,33,34,39,59
2023-10-18,3,7,14,33,41,45
2023-10-25,4,8,23,41,44,48
2023-11-01,14,23,30,42,45,48
2023-11-08,2,10,33,36,51,57
2023-11-15,7,19,22,50,51,53
2023-11-22,19,23,45,47,49,59
2023-11-29,10,26,46,49,51,58
2023-12-06,1,15,22,27,36,55
2023-12-13,1,6,38,43,53,56
2023-12-20,8,10,14,50,54,59
2023-12-27,3,10,28,50,51,59
2024-01-03,14,18,26,27,45,49
2024-01-10,5,17,34,40,42,52
2024-01-17,2,13,14,17,57,59
2024-01-24,3,29,43,44,47,53
2024-01-31,1,3,7,17,23,40
2024-02-07,13,18,37,40,46,60
2024-02-14,20,36,38,51,54,60
2024-02-21,27,37,41,49,50,55
2024-02-28,5,15,28,37,54,56
2024-03-06,6,12,24,27,54,55
2024-03-13,8,14,18,36,38,55
2024-03-20,1,17,20,26,39,44
2024-03-27,1,23,39,43,47,54
2024-04-03,2,21,24,35,50,51
2024-04-10,8,11,23,40,43,56
2024-04-17,5,27,40,46,52,53
2024-04-24,19,39,40,43,53,56
2024-05-01,25,39,40,45,47,50
2024-05-08,32,37,38,40,42,60
2024-05-15,2,8,13,42,51,60
2024-05-22,15,21,27,48,55,56
2024-05-29,2,21,45,56,59,60
2024-06-05,7,9,22,37,40,47
2024-06-12,10,16,19,29,55,59
2024-06-19,3,20,22,23,51,52
2024-06-26,5,13,15,26,34,52
2024-07-03,8,16,20,21,46,51
2024-07-10,4,9,16,17,22,54
2024-07-17,15,22,45,46,51,60
2024-07-24,5,6,12,16,40,51
2024-07-31,3,12,21,37,51,55
2024-08-07,1,25,30,38,42,50
2024-08-14,13,25,29,50,51,52
2024-08-21,8,10,24,27,44,48
2024-08-28,1,2,16,17,32,36
2024-09-04,5,21,23,26,29,33
2024-09-11,4,6,11,26,36,55
2024-09-18,17,19,43,44,52,59
2024-09-25,18,22,32,36,41,43
2024-10-02,11,13,27,30,44,46
2024-10-09,22,24,25,27,54,57
2024-10-16,1,7,19,23,45,51
2024-10-23,5,14,26,27,44,55
2024-10-30,10,16,28,35,48,58
2024-11-06,18,30,36,39,40,41
2024-11-13,3,6,13,22,35,53
2024-11-20,1,5,30,32,44,54
2024-11-27,2,9,23,31,35,46
2024-12-04,2,3,11,21,43,48
2024-12-11,13,18,24,41,42,51
2024-12-18,10,11,12,17,29,57
2024-12-25,14,23,31,40,46,47
2025-01-01,10,40,45,55,57,59
2025-01-08,9,10,11,17,20,44
2025-01-15,4,12,26,32,33,60
2025-01-22,2,3,6,23,40,59
2025-01-29,8,27,30,43,57,60
2025-02-05,4,28,29,47,58,60
2025-02-12,9,17,24,44,51,55
2025-02-19,7,20,21,35,36,49
2025-02-26,3,20,22,43,45,46
2025-03-05,4,13,14,17,36,43
2025-03-12,1,3,19,37,46,47
2025-03-19,6,9,34,44,53,60
2025-03-26,1,12,26,35,38,60
2025-04-02,8,13,14,26,32,35
2025-04-09,1,3,11,24,46,54
2025-04-16,3,25,40,42,47,48
2025-04-23,16,30,38,40,47,49
2025-04-30,2,18,34,40,44,59
2025-05-07,4,5,8,38,44,60
2025-05-14,3,20,23,40,42,59
2025-05-21,18,21,30,31,44,48
2025-05-28,6,13,15,32,37,60
2025-06-04,1,21,27,41,56,60
2025-06-11,12,19,20,24,47,48
2025-06-18,1,4,9,15,18,30
2025-06-25,13,21,40,42,45,54
2025-07-02,9,12,20,30,33,48
2025-07-09,11,25,27,32,37,42
2025-07-16,3,14,27,44,51,53
2025-07-23,9,13,33,34,39,46
2025-07-30,5,7,9,18,20,46
2025-08-06,5,8,9,27,44,59
2025-08-13,1,40,43,53,58,59
2025-08-20,2,10,18,45,48,54
2025-08-27,7,8,29,32,39,59
2025-09-03,28,39,40,42,51,53
2025-09-10,2,19,20,25,33,59
2025-09-17,1,4,14,24,42,48
2025-09-24,14,17,26,35,37,55
2025-10-01,3,4,15,16,29,44
2025-10-08,2,3,7,8,10,59
2025-10-15,3,6,15,44,54,55
2025-10-22,3,33,36,38,47,54
2025-10-29,9,15,19,38,50,54
2025-11-05,15,19,34,38,50,57
2025-11-12,1,2,11,16,41,44
2025-11-19,18,19,27,29,32,36
2025-11-26,1,5,22,23,39,56
2025-12-03,4,24,40,41,43,51
2025-12-10,3,4,11,32,33,40
2025-12-17,1,8,12,18,30,31
2025-12-24,17,29,38,43,51,53
2025-12-31,3,14,27,44,55,58
2026-01-07,3,7,22,29,44,60
2026-01-14,4,5,17,22,30,42
2026-01-21,9,12,17,22,46,59
2026-01-28,1,18,19,26,37,52
2026-02-04,1,2,21,46,51,53
2026-02-11,3,5,16,23,27,51
2026-02-18,1,6,8,31,56,57
2026-02-25,6,16,29,53,57,58
2026-03-04,8,23,29,46,53,59
2026-03-11,8,18,27,35,40,52
2026-03-18,3,13,20,24,33,41
2026-03-25,12,20,23,36,46,58
2026-04-01,8,18,35,37,44,51
2026-04-08,5,28,29,48,53,59
2026-04-15,3,14,30,31,33,46
2026-04-22,4,5,16,18,50,58
2026-04-29,14,23,25,34,36,43
2026-05-06,14,15,32,43,50,60
2026-05-13,3,7,19,22,28,51
2026-05-20,12,18,25,33,36,58
2026-05-27,2,11,18,20,39,56
