tarih,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22
2007-05-31,2,9,12,14,16,20,22,30,31,37,40,41,47,49,51,53,55,68,69,70,74,78
2007-06-04,5,13,14,16,20,23,25,28,31,32,34,40,41,42,47,48,53,59,61,73,76,79
2007-06-07,3,5,8,10,13,21,27,38,43,45,47,53,56,58,59,63,64,66,72,75,76,77
2007-06-11,2,4,5,9,18,24,25,26,34,35,36,39,41,45,50,52,55,60,61,70,71,77
2007-06-14,3,12,13,14,15,16,17,18,19,25,28,30,32,39,44,46,47,53,58,66,69,76
2007-06-18,1,4,8,10,14,25,31,34,38,39,41,42,44,46,50,53,59,61,62,76,78,80
2007-06-21,1,2,4,9,10,18,22,24,34,35,47,48,55,56,57,60,65,66,68,71,77,79
2007-06-25,1,7,9,12,14,17,20,22,23,32,34,37,42,43,44,52,54,57,61,67,71,73
2007-06-28,2,6,7,8,12,14,19,25,30,31,33,41,43,47,48,49,52,62,63,68,73,77
2007-07-02,1,3,6,7,8,12,13,19,20,21,27,29,38,46,52,53,60,65,68,73,74,80
2007-07-05,1,3,6,9,11,13,14,20,27,30,38,41,42,45,55,56,62,66,71,74,75,78
2007-07-09,1,11,14,23,29,33,34,38,46,48,51,52,53,59,63,65,66,74,76,77,78,79
2007-07-12,1,2,7,9,13,19,22,25,26,30,32,34,45,49,51,57,65,68,69,70,72,78
2007-07-16,10,13,15,18,21,23,34,38,43,45,46,48,55,56,57,58,63,69,71,75,76,79
2007-07-19,2,8,9,12,13,24,39,40,41,42,48,52,53,55,58,59,62,67,71,73,77,79
2007-07-23,1,2,3,16,19,20,21,25,29,36,40,41,42,47,55,56,60,65,67,70,72,74
2007-07-26,4,5,8,12,14,22,23,29,35,36,43,44,45,54,57,61,64,68,70,73,76,80
2007-07-30,2,5,6,12,15,18,20,22,26,27,30,43,46,50,54,60,67,68,69,74,77,78
2007-08-02,3,4,6,8,9,18,22,23,26,30,33,36,39,49,53,54,55,57,66,68,76,80
2007-08-06,1,2,4,6,12,27,28,30,31,32,35,42,53,54,56,58,62,64,68,69,72,79
2007-08-09,1,2,10,18,24,25,26,28,30,34,41,42,43,45,49,50,54,60,65,66,71,80
2007-08-13,3,14,15,18,20,25,26,30,32,40,42,43,44,49,53,55,62,64,68,70,75,77
2007-08-16,1,3,13,14,15,16,17,22,23,25,26,30,47,48,54,56,59,67,68,74,75,76
2007-08-20,4,10,12,14,23,24,34,41,45,46,47,58,64,68,69,71,72,74,75,76,78,79
2007-08-23,5,6,7,8,10,12,24,27,28,31,33,34,40,42,49,55,57,59,68,71,72,79
2007-08-27,2,3,6,13,14,15,20,25,32,33,34,36,44,45,47,51,53,55,56,64,66,73
2007-08-30,1,16,17,18,22,30,31,32,40,42,44,48,49,54,57,58,70,72,74,75,78,79
2007-09-03,2,6,16,25,27,34,35,37,49,53,54,56,58,61,63,64,65,66,67,70,77,78
2007-09-06,4,6,7,8,14,20,22,23,26,31,32,42,43,47,50,51,53,60,61,65,66,79
2007-09-10,8,9,12,14,24,27,30,31,32,36,37,42,45,46,49,52,55,58,66,69,72,80
2007-09-13,2,3,7,14,15,20,28,36,48,49,53,55,56,61,62,66,69,71,74,77,78,79
2007-09-17,14,15,16,17,19,21,23,28,31,35,36,42,47,48,52,53,63,65,69,74,78,79
2007-09-20,1,2,8,19,25,26,29,30,31,34,35,42,45,46,47,51,54,59,61,65,66,70
2007-09-24,1,11,14,17,27,32,38,39,42,43,44,46,49,50,51,52,53,56,59,60,63,70
2007-09-27,3,11,12,14,22,26,28,30,31,33,38,41,44,47,50,51,59,62,64,65,79,80
2007-10-01,7,10,12,15,16,17,18,20,22,32,36,39,45,59,60,61,62,65,71,76,77,79
2007-10-04,21,27,32,36,37,38,43,44,46,47,50,55,60,62,63,64,68,70,71,74,75,76
2007-10-08,2,11,12,15,20,27,28,29,32,34,36,42,46,47,49,52,53,62,70,71,77,78
2007-10-11,1,3,9,12,13,14,15,20,32,36,38,44,48,49,52,60,61,62,71,74,75,78
2007-10-15,3,4,12,14,21,22,27,31,32,35,36,46,51,54,56,58,65,66,67,68,74,80
2007-10-18,8,9,17,18,19,21,29,32,34,36,37,38,47,48,51,52,54,60,66,74,75,76
2007-10-22,1,10,13,18,22,23,25,29,31,36,39,41,42,43,47,51,53,63,64,72,73,79
2007-10-25,2,4,9,12,13,20,26,27,32,37,42,44,46,51,53,54,58,59,65,67,77,79
2007-10-29,4,9,15,17,19,21,29,30,31,36,38,41,45,46,53,54,62,63,66,69,70,79
2007-11-01,1,12,13,17,21,22,23,24,33,34,36,42,49,52,53,56,59,60,61,64,73,78
2007-11-05,12,16,17,20,23,24,28,34,35,36,37,38,41,56,59,64,67,68,70,71,77,79
2007-11-08,3,6,7,17,20,28,35,36,38,41,42,44,47,48,49,54,56,60,63,67,72,75
2007-11-12,1,2,10,15,16,18,19,26,28,29,32,35,42,45,46,47,49,54,64,67,71,79
2007-11-15,2,10,12,17,21,24,26,29,34,40,41,43,44,49,50,51,60,62,63,73,74,79
2007-11-19,1,2,5,10,12,17,18,21,25,28,37,39,44,45,52,53,64,67,75,77,78,80
2007-11-22,5,14,16,17,18,20,22,33,36,40,46,47,48,56,59,60,66,68,73,77,78,79
2007-11-26,6,10,13,15,19,20,21,24,36,37,38,39,41,44,47,49,53,55,56,66,70,79
2007-11-29,3,18,19,24,28,29,36,37,41,42,46,47,51,56,58,62,63,67,68,73,79,80
2007-12-03,2,3,4,8,12,14,15,17,18,21,28,30,32,53,55,61,67,69,71,73,78,80
2007-12-06,4,14,17,18,21,31,33,35,36,39,40,42,43,44,45,49,50,55,56,69,73,78
2007-12-10,3,7,14,15,20,21,28,31,33,35,38,41,44,45,47,50,53,65,67,68,77,79
2007-12-13,4,13,19,20,25,32,34,40,41,42,43,44,48,50,52,53,63,65,71,74,75,79
2007-12-17,1,3,5,12,15,16,18,22,25,30,32,35,37,39,48,58,60,62,63,69,72,77
2007-12-20,1,6,8,11,14,17,18,20,25,35,36,40,46,48,49,50,55,60,65,71,72,74
2007-12-24,7,8,14,15,21,24,28,31,38,39,42,43,52,55,56,66,67,69,70,71,77,79
2007-12-27,13,20,29,32,35,44,46,49,51,52,55,58,59,61,62,64,68,69,71,72,74,76
2007-12-31,3,5,10,12,13,14,23,25,26,27,32,36,44,46,47,50,58,59,70,74,77,78
2008-01-03,1,10,15,16,18,21,24,26,27,31,33,35,36,37,43,47,55,58,60,66,70,77
2008-01-07,1,14,17,20,22,33,34,37,41,43,44,46,47,55,56,58,59,60,61,66,68,74
2008-01-10,1,3,5,6,7,12,14,16,19,22,26,29,35,47,50,54,55,61,69,74,77,78
2008-01-14,11,15,18,21,29,31,33,34,37,40,42,45,46,47,49,53,55,59,61,70,76,78
2008-01-17,2,4,6,8,9,10,16,17,23,25,30,35,36,39,43,50,51,58,63,67,75,77
2008-01-21,1,10,14,22,25,34,37,40,43,44,47,53,57,59,62,65,68,69,75,77,78,80
2008-01-24,4,9,18,20,21,22,31,38,40,41,42,48,49,50,52,53,62,63,71,73,74,79
2008-01-28,3,7,20,24,25,31,33,44,46,47,55,57,58,62,63,65,68,71,72,73,75,80
2008-01-31,1,7,14,18,24,25,30,31,34,36,37,38,41,42,43,48,50,53,56,64,65,74
2008-02-04,4,5,16,18,19,23,25,26,33,47,48,51,53,57,58,61,62,63,66,69,70,73
2008-02-07,2,3,7,8,9,14,23,25,34,42,44,46,47,51,52,55,56,60,71,72,78,80
2008-02-11,2,5,9,10,24,25,26,27,30,34,41,43,44,49,50,52,53,56,62,66,67,74
2008-02-14,10,12,13,15,22,23,32,43,45,46,48,49,53,58,60,61,63,64,65,68,70,77
2008-02-18,2,6,10,13,14,17,18,24,29,34,40,42,45,50,52,53,55,56,60,71,73,79
2008-02-21,8,12,13,19,22,25,26,31,32,33,35,36,43,44,50,51,52,55,57,60,66,72
2008-02-25,14,15,16,18,22,25,30,31,35,38,40,48,49,55,56,57,65,68,71,75,79,80
2008-02-28,7,9,10,13,16,17,20,25,30,34,40,43,44,48,50,52,55,56,58,64,71,80
2008-03-03,5,6,16,22,29,30,32,39,43,44,46,47,52,53,57,63,68,70,71,75,79,80
2008-03-06,1,3,5,10,15,18,19,20,25,26,36,38,44,48,50,56,59,61,66,69,74,75
2008-03-10,3,6,7,9,11,14,16,17,18,21,32,35,36,43,48,62,67,72,73,75,77,80
2008-03-13,2,8,18,24,29,30,31,32,38,44,47,49,55,59,65,66,69,70,75,77,79,80
2008-03-17,1,10,11,12,17,20,22,27,30,35,38,39,46,47,53,59,63,68,70,73,74,78
2008-03-20,1,4,9,16,17,18,19,20,28,31,33,47,48,54,57,59,60,62,63,74,78,79
2008-03-24,3,5,12,13,15,21,22,23,25,28,32,36,56,58,60,62,64,66,68,73,74,76
2008-03-27,2,3,6,8,14,16,18,23,25,28,36,37,47,49,53,63,69,70,73,76,77,78
2008-03-31,2,18,20,21,23,29,34,36,38,40,47,48,49,50,52,58,61,69,72,73,74,77
2008-04-03,2,5,7,9,10,21,23,25,27,29,30,35,40,44,54,55,56,57,61,68,73,76
2008-04-07,9,12,18,19,23,24,34,36,41,43,47,49,51,54,56,59,62,63,65,68,69,78
2008-04-10,6,8,12,19,26,33,40,41,45,46,48,49,52,55,56,57,58,61,71,72,74,79
2008-04-14,8,14,17,18,24,29,32,36,43,48,49,52,54,55,57,61,63,66,68,73,78,80
2008-04-17,1,8,9,14,28,33,34,40,44,46,53,54,59,60,65,66,67,69,70,72,74,78
2008-04-21,12,17,19,20,22,23,26,28,30,35,43,46,56,58,60,67,69,71,72,73,77,79
2008-04-24,2,8,12,13,16,17,18,29,32,34,38,42,46,49,54,63,65,66,69,70,71,73
2008-04-28,1,6,8,14,23,25,34,35,36,37,38,40,43,47,49,50,51,53,54,59,67,69
2008-05-01,1,2,8,9,14,23,25,26,28,34,36,39,44,45,46,47,52,57,66,67,79,80
2008-05-05,3,5,9,13,14,21,26,27,28,36,38,40,49,53,56,57,58,61,66,72,75,78
2008-05-08,4,5,7,8,9,13,14,17,18,26,29,35,36,46,49,53,57,59,64,71,74,75
2008-05-12,3,6,8,25,28,29,32,35,37,41,50,52,53,55,57,61,62,63,71,74,77,78
2008-05-15,1,2,5,8,14,15,17,20,21,27,28,34,36,40,41,45,46,59,62,64,68,72
2008-05-19,1,3,6,8,9,12,14,16,19,21,22,24,33,36,42,52,53,56,58,61,66,73
2008-05-22,2,3,4,10,12,25,32,33,34,36,43,44,50,54,55,56,57,68,69,77,78,79
2008-05-26,6,13,14,15,21,22,25,32,34,36,38,39,44,49,50,52,59,69,77,78,79,80
2008-05-29,2,9,15,18,23,31,32,33,34,36,37,40,42,44,45,49,55,59,61,62,67,75
2008-06-02,2,8,17,18,20,21,32,37,38,40,46,47,49,51,52,54,55,57,61,66,70,75
2008-06-05,2,4,8,15,16,20,21,25,38,41,44,48,50,55,56,57,58,65,72,73,78,80
2008-06-09,8,9,15,19,30,31,33,35,36,40,44,47,49,51,55,56,57,60,65,67,68,80
2008-06-12,8,12,18,26,27,29,32,35,38,39,44,46,59,62,63,66,67,69,70,75,77,78
2008-06-16,12,13,15,20,21,24,25,27,29,31,40,41,44,62,63,65,66,68,72,74,75,78
2008-06-19,1,2,5,9,12,13,14,17,21,22,25,39,40,44,55,57,59,61,64,71,73,80
2008-06-23,3,12,13,16,18,28,29,32,42,44,46,47,49,50,52,53,57,61,69,70,71,76
2008-06-26,2,7,11,22,24,26,27,29,43,44,47,48,49,56,57,58,60,66,72,74,78,79
2008-06-30,1,4,12,15,24,26,27,28,29,31,32,33,34,38,41,47,54,55,57,62,68,73
2008-07-03,4,6,8,9,13,16,21,24,26,27,33,37,40,42,43,44,63,64,69,73,78,80
2008-07-07,5,9,16,17,20,21,22,24,26,40,41,45,47,49,53,54,55,63,70,71,73,77
2008-07-10,5,9,24,28,30,33,34,36,42,43,47,48,50,51,53,56,62,67,69,70,77,79
2008-07-14,2,3,9,15,18,25,26,28,30,33,41,47,50,54,55,58,63,70,71,73,79,80
2008-07-17,5,6,10,16,17,19,20,21,22,24,25,32,40,41,45,47,49,53,54,59,70,73
2008-07-21,2,7,8,14,17,20,21,27,30,31,33,34,40,44,49,55,57,61,63,65,68,79
2008-07-24,3,14,17,18,22,23,26,31,34,35,36,37,38,40,46,49,52,63,66,71,75,77
2008-07-28,4,11,12,13,21,22,32,33,34,41,43,44,45,47,48,50,53,59,62,66,72,76
2008-07-31,10,16,20,23,24,26,27,29,34,36,37,39,41,49,52,53,60,62,64,68,78,79
2008-08-04,4,10,12,14,23,25,26,27,36,41,47,48,49,51,55,56,59,65,66,71,76,78
2008-08-07,4,6,9,11,16,22,23,24,31,36,37,38,45,46,47,59,70,72,75,77,79,80
2008-08-11,4,6,15,17,20,22,24,27,33,36,41,44,47,51,52,57,59,62,71,74,78,79
2008-08-14,2,3,5,8,10,15,18,19,31,34,35,43,44,48,49,53,60,61,62,65,66,69
2008-08-18,4,9,12,15,17,23,26,29,35,37,42,46,51,53,54,61,67,70,71,72,75,78
2008-08-21,2,3,9,14,15,17,19,21,22,23,29,32,35,40,43,44,46,55,57,68,70,74
2008-08-25,2,6,9,12,23,27,29,35,36,38,40,44,48,50,53,55,65,70,72,74,78,80
2008-08-28,1,3,4,6,7,12,14,17,29,30,32,47,49,50,53,54,58,67,70,73,79,80
2008-09-01,12,13,16,20,21,28,32,40,47,49,50,52,59,60,62,63,67,68,72,73,76,78
2008-09-04,10,13,14,15,17,22,24,25,27,28,32,34,37,40,41,47,49,63,65,70,72,77
2008-09-08,3,6,7,9,10,21,23,26,33,35,43,44,45,52,53,54,57,61,63,65,72,75
2008-09-11,2,5,8,13,15,16,17,21,25,43,45,50,53,55,56,58,59,60,69,71,74,76
2008-09-15,2,6,8,13,17,27,31,32,33,43,52,53,56,57,63,66,70,71,73,76,77,80
2008-09-18,3,7,9,13,14,17,29,30,33,35,42,43,44,47,50,53,58,67,69,75,77,78
2008-09-22,6,12,14,18,20,25,29,31,36,40,41,44,47,48,50,56,58,67,72,76,78,80
2008-09-25,1,4,8,15,16,21,28,29,32,36,37,44,51,55,57,60,63,64,68,73,79,80
2008-09-29,1,2,3,5,6,9,12,14,21,22,26,31,36,39,42,55,61,62,65,66,67,69
2008-10-02,3,4,6,14,16,17,22,25,26,43,53,54,55,56,62,63,66,69,71,74,76,78
2008-10-06,1,9,12,13,15,16,18,24,28,29,30,34,35,36,41,44,49,54,57,58,66,71
2008-10-09,1,2,8,9,11,16,18,19,20,23,25,26,51,53,57,62,66,67,69,71,74,75
2008-10-13,1,8,17,18,21,22,26,27,29,34,35,43,45,46,47,55,59,60,63,74,77,79
2008-10-16,4,8,18,24,27,34,35,40,41,44,51,55,56,58,60,61,67,69,70,73,75,78
2008-10-20,1,2,8,15,18,20,22,26,31,32,35,36,37,38,42,43,46,47,54,61,68,73
2008-10-23,1,5,12,15,23,27,28,34,35,44,46,50,51,52,56,60,61,63,65,67,69,72
2008-10-27,1,5,8,15,19,25,30,32,36,39,40,42,49,57,59,65,67,71,74,75,76,79
2008-10-30,11,14,16,17,20,21,30,34,36,47,49,52,53,58,59,60,62,65,68,71,72,78
2008-11-03,4,10,15,20,25,27,30,35,37,42,45,46,47,50,51,56,60,65,67,75,77,80
2008-11-06,1,2,4,6,15,22,29,34,36,38,40,42,44,47,48,54,55,62,63,69,74,77
2008-11-10,7,18,20,21,25,26,28,29,41,43,44,46,54,55,57,58,67,68,71,73,74,78
2008-11-13,8,9,12,26,29,31,32,33,36,38,40,43,47,48,51,56,58,60,64,68,71,73
2008-11-17,2,3,8,14,17,18,19,21,24,25,32,41,44,48,49,51,53,56,59,62,65,80
2008-11-20,5,6,10,17,23,24,26,38,39,40,45,55,57,60,65,66,69,71,72,76,77,79
2008-11-24,6,7,13,20,23,26,28,29,31,33,44,48,49,53,55,60,63,67,73,74,77,80
2008-11-27,7,8,10,12,16,27,41,42,44,45,46,48,51,52,53,57,61,63,64,68,69,77
2008-12-01,2,3,18,20,23,31,37,38,42,44,47,48,51,54,56,57,59,66,68,71,73,75
2008-12-04,2,3,7,11,14,19,22,23,27,28,34,39,41,42,44,52,59,66,67,77,78,79
2008-12-08,8,12,14,21,22,23,24,32,40,42,47,49,52,54,64,65,66,68,72,73,75,79
2008-12-11,2,3,18,20,27,28,37,40,43,44,46,53,59,60,62,67,72,75,77,78,79,80
2008-12-15,12,13,14,20,25,26,28,32,33,39,41,43,47,51,52,61,67,69,73,74,75,78
2008-12-18,1,5,9,17,19,21,23,30,34,36,39,40,44,47,52,55,59,66,67,70,72,75
2008-12-22,3,4,8,15,18,19,25,40,44,45,50,53,55,56,57,66,68,73,75,77,79,80
2008-12-25,1,4,6,8,10,11,14,17,19,21,30,38,39,41,46,48,49,61,65,67,76,80
2008-12-29,2,6,9,11,17,19,28,29,31,32,40,42,46,49,56,59,60,62,70,71,75,78
2009-01-01,1,3,6,12,17,20,22,25,26,33,35,36,41,44,46,48,67,68,74,75,76,80
2009-01-05,9,22,24,25,26,29,31,32,40,41,42,45,48,57,66,68,69,70,71,78,79,80
2009-01-08,5,6,8,9,15,17,20,22,33,38,43,49,53,56,57,58,62,64,69,74,79,80
2009-01-12,6,9,19,22,23,24,25,29,37,38,42,43,47,49,56,59,61,68,71,72,74,80
2009-01-15,1,2,5,13,16,17,18,22,23,26,31,33,52,56,57,65,67,68,70,71,75,78
2009-01-19,1,8,10,12,13,16,21,29,30,33,38,42,43,44,48,52,56,61,63,68,78,79
2009-01-22,3,6,12,18,21,26,29,41,44,47,52,54,59,61,63,64,65,66,67,68,69,80
2009-01-26,3,4,6,7,8,14,24,31,34,35,38,45,50,51,61,63,65,66,70,72,74,80
2009-01-29,2,12,15,16,20,22,23,24,31,32,35,36,40,43,45,47,48,49,50,61,68,79
2009-02-02,2,3,4,6,7,9,12,25,32,37,38,40,44,51,55,60,61,70,72,74,78,80
2009-02-05,7,18,20,23,26,28,36,37,41,46,49,54,55,56,60,63,65,66,70,71,75,79
2009-02-09,5,9,14,17,21,29,38,41,45,49,52,53,56,57,59,60,66,73,74,75,76,78
2009-02-12,2,3,15,22,24,27,28,31,34,43,46,48,49,52,53,55,58,61,63,70,73,78
2009-02-16,2,3,10,18,26,27,28,32,33,35,37,47,52,53,56,64,66,72,74,75,78,80
2009-02-19,1,3,22,23,27,29,30,37,42,43,44,47,53,58,64,66,67,70,72,73,77,79
2009-02-23,5,12,14,27,28,41,44,47,49,50,54,58,59,61,65,68,69,72,73,77,78,79
2009-02-26,4,13,14,16,17,18,19,22,26,27,31,32,33,35,39,42,44,55,57,62,78,80
2009-03-02,3,5,7,9,12,13,14,18,19,26,31,34,41,44,46,47,50,52,54,67,72,79
2009-03-05,3,5,8,9,21,23,25,27,32,35,38,42,44,47,51,55,56,62,68,70,72,74
2009-03-09,6,15,18,19,20,31,36,37,40,41,42,45,47,49,55,59,64,65,70,72,75,80
2009-03-12,5,6,11,12,14,15,21,22,24,28,34,35,39,40,51,53,64,65,70,74,79,80
2009-03-16,4,8,9,13,15,18,22,23,31,33,34,35,47,51,52,60,65,66,67,68,74,80
2009-03-19,1,3,6,7,8,12,14,22,23,25,27,30,32,39,42,47,52,58,60,68,77,79
2009-03-23,2,4,7,13,17,19,21,26,28,34,38,50,53,56,58,61,63,66,67,70,78,80
2009-03-26,4,9,13,14,19,20,23,25,28,30,33,35,40,45,47,49,55,56,60,75,77,79
2009-03-30,6,17,18,21,25,36,38,40,44,45,47,49,54,59,62,66,67,68,70,72,73,77
2009-04-02,1,4,5,6,12,14,16,18,21,30,31,33,41,43,44,47,50,55,57,68,79,80
2009-04-06,1,3,5,6,12,15,19,22,25,37,38,44,49,50,56,65,68,70,71,73,74,75
2009-04-09,10,15,17,18,23,25,26,30,39,46,48,49,51,54,60,61,62,66,69,71,73,79
2009-04-13,9,11,16,21,22,27,28,29,38,44,46,47,50,51,58,59,63,67,69,70,72,79
2009-04-16,3,5,8,9,13,15,16,19,27,30,33,35,38,48,58,59,60,61,67,68,71,79
2009-04-20,1,4,7,9,13,15,17,25,38,41,45,50,51,54,66,67,69,70,74,78,79,80
2009-04-23,7,10,14,19,21,28,29,36,38,42,50,53,56,58,65,67,69,70,74,75,77,80
2009-04-27,1,2,15,16,19,21,43,48,49,50,56,58,61,62,63,65,69,72,73,74,76,80
2009-04-30,2,3,6,10,13,15,27,28,29,33,34,37,43,46,47,56,62,68,71,72,79,80
2009-05-04,3,5,6,9,15,18,25,27,29,32,38,40,42,51,56,57,63,68,70,71,77,78
2009-05-07,1,2,3,4,6,9,15,17,18,20,23,27,33,36,40,43,44,58,59,62,77,78
2009-05-11,1,6,7,13,15,21,23,24,31,33,34,36,48,49,51,53,55,56,61,67,71,75
2009-05-14,4,11,29,31,40,42,46,49,50,51,52,55,57,59,60,61,62,65,66,67,68,69
2009-05-18,11,18,20,22,26,32,37,40,43,44,48,49,51,53,60,61,62,65,67,69,70,74
2009-05-21,2,7,22,24,25,29,32,33,38,41,42,45,46,48,50,51,52,53,55,60,66,80
2009-05-25,3,14,15,17,19,27,28,34,37,38,44,45,49,56,59,63,71,73,75,76,77,78
2009-05-28,5,6,10,12,18,25,32,41,42,43,50,52,54,56,57,65,71,73,76,77,78,79
2009-06-01,8,14,17,20,21,22,24,25,26,27,35,37,39,42,49,52,53,55,56,60,62,73
2009-06-04,4,6,14,20,24,26,36,38,40,42,44,47,53,55,57,61,66,71,74,75,78,79
2009-06-08,13,19,20,22,29,30,33,38,42,45,47,52,55,56,59,62,65,66,67,68,69,80
2009-06-11,1,5,13,14,15,16,22,26,29,31,35,38,53,57,60,61,64,65,68,71,73,78
2009-06-15,1,8,11,14,15,17,19,28,30,35,41,42,46,48,49,55,57,63,70,72,75,77
2009-06-18,1,2,3,10,15,20,22,26,40,44,51,53,55,56,58,64,65,70,73,76,77,79
2009-06-22,3,9,13,16,20,27,28,32,34,35,36,42,43,47,49,52,54,56,58,71,75,79
2009-06-25,5,12,18,21,28,32,34,35,43,44,46,47,51,53,55,56,59,62,66,73,77,78
2009-06-29,4,9,20,22,23,25,27,29,34,35,41,43,54,57,60,61,65,66,68,73,74,77
2009-07-02,2,3,6,7,10,15,16,25,35,39,40,49,51,55,57,60,63,64,66,72,77,79
2009-07-06,5,9,17,18,28,31,36,38,40,42,44,45,47,50,51,52,53,55,57,60,66,69
2009-07-09,2,4,7,13,15,20,22,28,35,37,40,41,45,51,53,54,62,64,67,69,72,73
2009-07-13,1,18,27,28,32,35,36,39,43,44,46,49,50,52,58,63,73,74,75,76,78,79
2009-07-16,1,3,4,7,14,16,18,26,38,40,42,47,48,52,53,54,62,63,65,69,77,78
2009-07-20,3,6,10,15,27,28,31,37,38,41,46,51,52,55,56,60,61,66,68,74,76,80
2009-07-23,13,14,20,21,24,25,26,28,29,33,36,40,43,44,46,53,57,60,63,68,69,73
2009-07-27,4,7,11,22,25,27,30,33,35,37,43,47,50,51,55,58,61,65,66,67,71,72
2009-07-30,1,2,19,21,23,24,28,34,38,40,42,44,46,47,49,50,53,67,68,75,77,79
2009-08-03,1,2,3,5,14,17,20,23,27,29,40,42,46,53,55,58,63,65,66,68,76,79
